Updated On,State,"RT-PCR Test(Includes TrueNat,CBNAAT,CRISPR)",RAT(Rapid Antigen Test),Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Total People Quarantined,Tag(People in Quarantine),Cumulative People in Home Isolation,Total People Currently in Isolation,Tag(People in Isolation),People released from Home Isolation,"Cases outside Home Isolation i.e Institutional Isolation,Hospital Etc.",Cumulative People in Surveillance,Total People Currently in Surveillance,Tag(People in Surveillance),People released from Surveillance,Cumulative People in Observation,People released from Observation,People on ICU Beds,People on Ventilator,People on O2 Beds,Beds Occupied(Normal/Isolation),Total Num ICU Beds,Total Num Ventilators,Total Num of O2 Beds,Total Num Beds (Normal/Isolation) ,Total PPE,Total N95 Masks,COVID Enquiry Calls,Number of Containment Zones,Cumulative Number of Symptomatic Cases,Cumulative Number of Asymptomatic Cases,Unknown(Nature of Cases),Tag(Nature of Cases),Male(Confirmed Cases),Female(Confirmed Cases),Transgender(Confirmed Cases),Unknown(Confirmed Cases),Male(Deceased Cases),Female(Deceased Cases),Transgender(Deceased Cases),Unknown(Deceased Cases),Source1,Source2
30-May-20,Andaman and Nicobar Islands,,,,7567,Samples Sent,33,,129,,0,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/274.pdf,
31-May-20,Andaman and Nicobar Islands,,,,7706,Samples Sent,33,,0,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/275.pdf,
01-Jun-20,Andaman and Nicobar Islands,,,,7805,Samples Sent,33,,99,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/276.pdf,
02-Jun-20,Andaman and Nicobar Islands,,,,8086,Samples Sent,33,,274,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/277.pdf,
03-Jun-20,Andaman and Nicobar Islands,,,,8295,Samples Sent,33,,208,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/278.pdf,
04-Jun-20,Andaman and Nicobar Islands,,,,8413,Samples Sent,33,,118,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/280.pdf,
05-Jun-20,Andaman and Nicobar Islands,,,,8694,Samples Sent,33,,281,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/281.pdf,
06-Jun-20,Andaman and Nicobar Islands,,,,9037,Samples Sent,33,,343,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/282.pdf,
07-Jun-20,Andaman and Nicobar Islands,,,,9242,Samples Sent,33,,404,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/283.pdf,
08-Jun-20,Andaman and Nicobar Islands,,,,9341,Samples Sent,33,,279,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://t.me/indiacovid/6803?single,
09-Jun-20,Andaman and Nicobar Islands,,,,9859,Samples Sent,33,,531,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/290.pdf,
10-Jun-20,Andaman and Nicobar Islands,,,,10010,Samples Sent,35,,382,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/291.pdf,
06-May-20,Andhra Pradesh,,,,141274,Tested,1777,139497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,
07-May-20,Andhra Pradesh,,,,149361,Tested,1833,147528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/indiacovid/4173?single,
08-May-20,Andhra Pradesh,,,,156681,Tested,1887,154794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,
09-May-20,Andhra Pradesh,,,,165069,Tested,1930,163139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,
10-May-20,Andhra Pradesh,,,,173735,Tested,1980,171755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,
11-May-20,Andhra Pradesh,,,,181144,Tested,2018,179126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,
12-May-20,Andhra Pradesh,,,,191874,Tested,2051,189823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,
13-May-20,Andhra Pradesh,,,,201196,Tested,2137,199059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,
14-May-20,Andhra Pradesh,,,,210452,Tested,2100,208247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,
15-May-20,Andhra Pradesh,,,,219490,Tested,2157,217183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,
16-May-20,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-May-20,Andhra Pradesh,,,,238998,Tested,2230,236618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/35,http://hmfw.ap.gov.in/covid_dashboard.aspx
18-May-20,Andhra Pradesh,,,,248771,Tested,2282,246279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/45,http://hmfw.ap.gov.in/covid_dashboard.aspx
19-May-20,Andhra Pradesh,,,,258450,Tested,2339,255961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/56,http://hmfw.ap.gov.in/covid_dashboard.aspx
20-May-20,Andhra Pradesh,,,,267612,Tested,2407,265052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/67,http://hmfw.ap.gov.in/covid_dashboard.aspx
21-May-20,Andhra Pradesh,,,,275704,Tested,2452,273099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/83?single,http://hmfw.ap.gov.in/covid_dashboard.aspx
22-May-20,Andhra Pradesh,,,,284119,Tested,2514,281452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/103,http://hmfw.ap.gov.in/covid_dashboard.aspx
23-May-20,Andhra Pradesh,,,,292969,Tested,2561,290255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/114,http://hmfw.ap.gov.in/covid_dashboard.aspx
24-May-20,Andhra Pradesh,,,,304326,Tested,2627,301529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/143,http://hmfw.ap.gov.in/covid_dashboard.aspx
25-May-20,Andhra Pradesh,,,,314566,Tested,2671,311680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/150,http://hmfw.ap.gov.in/covid_dashboard.aspx
26-May-20,Andhra Pradesh,,,,322714,Tested,2719,319731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/164,http://hmfw.ap.gov.in/covid_dashboard.aspx
27-May-20,Andhra Pradesh,,,,332378,Tested,2787,329261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/180,http://hmfw.ap.gov.in/covid_dashboard.aspx
28-May-20,Andhra Pradesh,,,,342236,Tested,2841,338991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/201,http://hmfw.ap.gov.in/covid_dashboard.aspx
29-May-20,Andhra Pradesh,,,,353874,Tested,2874,350544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/215,http://hmfw.ap.gov.in/covid_dashboard.aspx
30-May-20,Andhra Pradesh,,,,363378,Tested,2944,359917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/231,http://hmfw.ap.gov.in/covid_dashboard.aspx
31-May-20,Andhra Pradesh,,,,372748,Tested,3045,369177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/241,http://hmfw.ap.gov.in/covid_dashboard.aspx
01-Jun-20,Andhra Pradesh,,,,383315,Tested,3118,379639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/257,http://hmfw.ap.gov.in/covid_dashboard.aspx
02-Jun-20,Andhra Pradesh,,,,395681,Tested,3200,391890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/269,http://hmfw.ap.gov.in/covid_dashboard.aspx
03-Jun-20,Andhra Pradesh,,,,403747,Tested,3279,399776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/282,http://hmfw.ap.gov.in/covid_dashboard.aspx
04-Jun-20,Andhra Pradesh,,,,413733,Tested,3377,409621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/298,http://hmfw.ap.gov.in/covid_dashboard.aspx
05-Jun-20,Andhra Pradesh,,,,423564,Tested,3427,419314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/319,http://hmfw.ap.gov.in/covid_dashboard.aspx
06-Jun-20,Andhra Pradesh,,,,436335,Tested,3588,431875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/327,http://hmfw.ap.gov.in/covid_dashboard.aspx
07-Jun-20,Andhra Pradesh,,,,454030,Tested,3718,449371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/345,http://hmfw.ap.gov.in/covid_dashboard.aspx
08-Jun-20,Andhra Pradesh,,,,468276,Tested,3843,463463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/359,http://hmfw.ap.gov.in/covid_dashboard.aspx
09-Jun-20,Andhra Pradesh,,,,483361,Tested,3990,478332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1270332139876151298?s=19,
10-Jun-20,Andhra Pradesh,,,,498716,Tested,4126,493469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/ArogyaAndhra/status/1270611674018443264?s=19,
06-May-20,Arunachal Pradesh,,,,1039,Samples Collected,2,857,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,
07-May-20,Arunachal Pradesh,,,,1144,Samples Collected,2,952,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,
08-May-20,Arunachal Pradesh,,,,1354,Samples Collected,2,1015,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,
09-May-20,Arunachal Pradesh,,,,1597,Samples Collected,2,1266,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,
10-May-20,Arunachal Pradesh,,,,1823,Samples Collected,2,1363,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php
11-May-20,Arunachal Pradesh,,,,2078,Samples Collected,2,1538,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php
12-May-20,Arunachal Pradesh,,,,2257,Samples Collected,2,1798,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php
13-May-20,Arunachal Pradesh,,,,2483,Samples Collected,2,1902,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php
14-May-20,Arunachal Pradesh,,,,2677,Samples Collected,2,2233,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/12?single,http://covid19.itanagarsmartcity.in/covidstatus.php
15-May-20,Arunachal Pradesh,,,,2942,Samples Collected,2,2546,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/22,http://covid19.itanagarsmartcity.in/covidstatus.php
16-May-20,Arunachal Pradesh,,,,3163,Samples Collected,2,2861,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/32,http://covid19.itanagarsmartcity.in/callstatus.php
17-May-20,Arunachal Pradesh,,,,3349,Samples Collected,2,2966,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/40,http://covid19.itanagarsmartcity.in/callstatus.php
18-May-20,Arunachal Pradesh,,,,3662,Samples Collected,2,3166,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/54,http://covid19.itanagarsmartcity.in/callstatus.php
19-May-20,Arunachal Pradesh,,,,3941,Samples Collected,2,3392,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/66,http://covid19.itanagarsmartcity.in/callstatus.php
20-May-20,Arunachal Pradesh,,,,4157,Samples Collected,2,3710,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,
21-May-20,Arunachal Pradesh,,,,4438,Samples Collected,2,3963,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/90,http://covid19.itanagarsmartcity.in/callstatus.php
22-May-20,Arunachal Pradesh,,,,4844,Samples Collected,2,4211,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/108,http://covid19.itanagarsmartcity.in/callstatus.php
23-May-20,Arunachal Pradesh,,,,5206,Samples Collected,2,4340,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/128,http://covid19.itanagarsmartcity.in/callstatus.php
24-May-20,Arunachal Pradesh,,,,5428,Samples Collected,2,4552,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/145,http://covid19.itanagarsmartcity.in/callstatus.php
25-May-20,Arunachal Pradesh,,,,5997,Samples Collected,2,4941,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/159,"http://covid19.itanagarsmartcity.in/covidstatus.php"
26-May-20,Arunachal Pradesh,,,,6319,Samples Collected,2,5083,1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/174,http://covid19.itanagarsmartcity.in/callstatus.php
27-May-20,Arunachal Pradesh,,,,6436,Samples Collected,2,5405,1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/193,http://covid19.itanagarsmartcity.in/callstatus.php
28-May-20,Arunachal Pradesh,,,,6984,Samples Collected,3,5677,1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/216,http://covid19.itanagarsmartcity.in/callstatus.php
29-May-20,Arunachal Pradesh,,,,7488,Samples Collected,3,6268,1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/222,http://covid19.itanagarsmartcity.in/callstatus.php
30-May-20,Arunachal Pradesh,,,,8017,Samples Collected,4,6675,1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/242,http://covid19.itanagarsmartcity.in/callstatus.php
31-May-20,Arunachal Pradesh,,,,8283,Samples Collected,4,7012,1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/254,http://covid19.itanagarsmartcity.in/callstatus.php
01-Jun-20,Arunachal Pradesh,,,,8768,Samples Collected,22,7528,1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/261,
02-Jun-20,Arunachal Pradesh,,,,9079,Samples Collected,28,7806,1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/281,http://covid19.itanagarsmartcity.in/callstatus.php
03-Jun-20,Arunachal Pradesh,,,,9551,Samples Collected,38,7927,1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/295,
04-Jun-20,Arunachal Pradesh,,,,10025,Samples Collected,43,8552,1427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/312,http://covid19.itanagarsmartcity.in/callstatus.php
05-Jun-20,Arunachal Pradesh,,,,10790,Samples Collected,46,8877,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/indiacovid/6443,
06-Jun-20,Arunachal Pradesh,,,,11261,Samples Collected,49,9350,1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/335,http://covid19.itanagarsmartcity.in/covidstatus.php
07-Jun-20,Arunachal Pradesh,,,,11516,Samples Collected,51,9921,1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/356,http://covid19.itanagarsmartcity.in/covidstatus.php
08-Jun-20,Arunachal Pradesh,,,,12012,Samples Collected,57,10376,1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/373,http://covid19.itanagarsmartcity.in/covidstatus.php
09-Jun-20,Arunachal Pradesh,,,,12455,Samples Collected,57,10642,1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/387,http://covid19.itanagarsmartcity.in/covidstatus.php
10-Jun-20,Arunachal Pradesh,,,,13035,Samples Collected,61,11420,1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/400,http://covid19.itanagarsmartcity.in/covidstatus.php
09-May-20,Assam,,,,16167,Tested,59,15076,,,,,,,,,,,,,,,,,,,,,,,595,332,,3338,,,,,,,,,,,,,,,,,https://twitter.com/nhm_assam/status/1259143253225549824?s=19,
10-May-20,Assam,,,,18002,Tested,62,16236,,,,,,,,,,,,,,,,,,,,,,,595,332,,3338,,,,,,,,,,,,,,,,,https://twitter.com/nhm_assam/status/1259509134476656643?s=19,
11-May-20,Assam,,,,19589,Tested,64,17813,,,,,,,,,,,,,,,,,,,,,,,595,332,,3338,,,,,,,,,,,,,,,,,https://twitter.com/nhm_assam/status/1259873813346619393,
12-May-20,Assam,,,,21791,Tested,64,19211,,,,,,,,,,,,,,,,,,,,,,,595,332,,3338,,,,,,,,,,,,,,,,,https://twitter.com/nhm_assam/status/1260233750119514112,
13-May-20,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-May-20,Assam,,,,25824,Tested,86,23178,,,,,,,,,,,,,,,,,,,,,,,595,332,,3338,,,,,,,,,,,,,,,,,https://twitter.com/nhm_assam/status/1260970754763640833,
15-May-20,Assam,,,,28178,Tested,86,25431,,,,,,,,,,,,,,,,,,,,,,,595,332,,3338,,,,,,,,,,,,,,,,,https://twitter.com/nhm_assam/status/1261333665562398722?s=19,
16-May-20,Assam,,,,31276,Tested,91,28332,,,,,,,,,,,,,,,,,,,,,,,595,332,,3338,,,,,,,,,,,,,,,,,https://twitter.com/nhm_assam/status/1261711015596756992?s=19,https://t.me/indiacovid/4901?single
17-May-20,Assam,,,,34376,Tested,97,32035,,,,,,,,,,,,,,,,,,,,,,,595,332,,3338,,,,,,,,,,,,,,,,,https://twitter.com/nhm_assam/status/1262045284873338887?s=19,
18-May-20,Assam,,,,37898,Tested,106,35159,,,,,,,,,,,,,,,,,,,,,,,595,332,,3338,,,,,,,,,,,,,,,,,https://t.me/indiacovid/5078?single,
19-May-20,Assam,,,,41116,Tested,141,38138,,,,,,,,,,,,,,,,,,,,,,,595,332,,3338,,,,,,,,,,,,,,,,,https://twitter.com/nhm_assam/status/1262787100228886530,
20-May-20,Assam,,,,47084,Tested,170,42729,,,,,,,,,,,,,,,,,,,,,,,595,332,,3338,,,,,,,,,,,,,,,,,https://twitter.com/nhm_assam/status/1263137328869998592,
21-May-20,Assam,,,,51730,Tested,203,46442,,,,,,,,,,,,,,,,,,,,,,,595,332,,3338,,,,,,,,,,,,,,,,,https://twitter.com/nhm_assam/status/1263506782728515586,
